id,nom,iata,icao
m120,Jimma airport,JIM,HAJM
m121,Charleroi lufthavn (CRL), CRL,EBCI
m122,Rousse (Rousse) (ROU),ROU,LBRS
m123,Nikunau (Nikunau) (NIG),NIG,NGNU
m124,San Juan (San Juan) (SJM),SJM,MDSJ
m125,Vostochny (Vitebsk) (VTB),VTB,UMII
m126,Antwerpen flygplats (ANR), ANR,EBAW
m127,Vaasa,VAA,EFVA
m128,La Gomera (San Sebas De La Gomera) (GMZ),GMZ,GCGM
m129,Karasburg (Karasburg) (KAS),KAS,FYKB
m130,STRIGINO,(GOJ),UWGG
m131,Utica NNY Rail (Utica) (ZUA),ZUA,VGZR
m132,Gorakhpur (Gorakhpur) (GOP),GOP,VEGK
m133,Apia Faleolo International,APW,NSFA
m134,Aeroporto de Penang (PEN), PEN,WMKP
m135,O R Tambo International Airport,(JNB),FAOR
m136,Totness,TOT,SMCO
m137,Niue International,IUE,NIUE
m138,Brunei International,BWN,WBSB
m139,Northeast Florida Regional Airport,UST,KSGJ
m140,Da Nang International,DAD,VVDN
m141,Sardeh Band (Sardeh Band) (SBF),SBF,OADS
m142,Na-San (Son-La) (SQH),SQH,VVNS
m143,Bathurst (Bathurst) (ZBF),ZBF,CZBF
m144,Sir Seretse Khama International (Gaborone) (GBE),GBE,FBSK
m145,Ahmedabad Sardar Vallabhbhai Patel International,AMD,VAAH
m146,Munich Airport,MUC,EDDM
m147,Managua Augusto C. Sandino,MGA,MNMG
m148,Gangaw (Gangaw) (GAW),GAW,VYGG
m149,Aktobe,AKX,UATT
m150,Inverell (Inverell) (IVR),IVR,YIVL
m151,Attala County (Kosciusko) (OSX),OSX,KOSX
m152,Bilbao Aeropuerto (BIO), BIO,LEBB
m153,Narrabri (Narrabri) (NAA),NAA,YNBR
m154,Butaritari (Butaritari) (BBG),BBG,NGTU
m155,Aeropuerto de Palermo,PMO,LICJ
m156,Ain El Bey (Constantine) (CZL),CZL,DABC
m157,Nkayi (Nkayi) (NKY),NKY,FCBY
m158,Marsa Alam Intl (Marsa Alam) (RMF),RMF,HEMA
m159,Golmud (Golmud) (GOQ),GOQ,ZLGM
m160,Dayton International,DAY,KDAY
